marker,half,image,question,construct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,EndIntro.keys,EndIntro.rt,EndIntro.started,EndIntro.stopped,StartNachricht1.started,StartNachricht1.stopped,Start.keys,Start.rt,Start.started,Start.stopped,WebsiteImg.started,WebsiteImg.stopped,Frage.started,Frage.stopped,RatingBlau.response,RatingBlau.rt,RatingBlau.started,RatingBlau.stopped,FixationCross.started,FixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,
16,VI,Stimuli/VI_magazineluiza.png,The shown influencer is a human.,human,0,59,59,75,,,,,,,,,,,591.1868104045279,593.1865881695412,593.0866299346089,None,2,3.585,2.005078298971057,None,596.703167860629,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
18,VI,Stimuli/VI_rozygram.png,I would follow brand recommendations from the shown influencer.,use,0,60,60,37,,,,,,,,,,,601.103235397255,603.1031700954773,603.0199088850059,None,1,2.785,2.000346831511706,None,605.8366137314588,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
14,VI,Stimuli/VI_leyalovenature.png,I perceived the influencer as eerie.,uncanny,0,61,61,53,,,,,,,,,,,609.9864806141704,611.9863556679338,611.8862512554042,None,4,3.835,2.001566609600559,None,615.7533110352233,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
10,HI,Stimuli/HI_sooyaaa__.png,I perceived the influencer as eerie.,uncanny,0,62,62,49,,,,,,,,,,,619.9033680956345,621.903156127315,621.8198426056188,None,3,1.836,2.004898387938738,None,623.6863898204174,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
18,VI,Stimuli/VI_rozygram.png,The shown influencer is trustworthy.,trust,0,63,63,17,,,,,,,,,,,627.3199166373815,629.3199628023431,629.2364097251557,None,2,1.852,2.0127562996931374,None,631.1199076976627,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
13,VI,Stimuli/VI_immagram.png,The shown influencer is a human.,human,0,64,64,72,,,,,,,,,,,635.1863965252414,637.1864123791456,637.1698747326154,None,3,2.585,2.0081768771633506,None,639.7864704870153,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
9,HI,Stimuli/HI_simoneses.png,I perceived the influencer as eerie.,uncanny,0,65,65,48,,,,,,,,,,,644.186614779057,646.1864453442395,646.1031342670321,None,1,3.418,2.005648343358189,None,649.5530280384701,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
8,HI,Stimuli/HI_rosesarerosie.png,The shown influencer is a human.,human,0,66,66,67,,,,,,,,,,,653.6869982078206,655.6864885061514,655.6030185399577,None,3,3.536,2.007636654889211,None,659.169671215117,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
4,HI,Stimuli/HI_flaviapavanelli.png,The shown influencer is a human.,human,0,67,67,63,,,,,,,,,,,663.3032810732257,665.3030246160924,665.2030790923163,None,4,3.802,2.002194049535319,None,669.0365874012932,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
10,HI,Stimuli/HI_sooyaaa__.png,The shown influencer is trustworthy.,trust,0,68,68,9,,,,,,,,,,,672.6864880870562,674.6864418522455,674.5864283728879,None,3,1.968,2.0040149653796107,None,676.5864256490022,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
10,HI,Stimuli/HI_sooyaaa__.png,I would follow brand recommendations from the shown influencer.,use,0,69,69,29,,,,,,,,,,,680.4195276913233,682.4197503451724,682.4028934543021,None,2,3.619,2.0071954815648496,None,686.0527941398323,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
3,HI,Stimuli/HI_emilycanham.png,The shown influencer is trustworthy.,trust,0,70,70,2,,,,,,,,,,,690.1197102563456,692.1196918881033,692.102745041484,None,2,2.135,2.0133835445158184,None,694.2695981611032,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
7,HI,Stimuli/HI_lamise.png,The shown influencer is trustworthy.,trust,0,71,71,6,,,,,,,,,,,697.902880044654,699.9028802542016,699.8028760638554,None,2,2.218,2.0058572944253683,None,702.052879416151,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
1,HI,Stimuli/HI_adhel_bol.png,I would follow brand recommendations from the shown influencer.,use,0,72,72,20,,,,,,,,,,,705.9530658225995,707.9529750987422,707.8695452213287,None,2,2.068,2.012883215676993,None,709.9695305547211,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
10,HI,Stimuli/HI_sooyaaa__.png,The shown influencer is a human.,human,0,73,73,69,,,,,,,,,,,714.3695932023693,716.3694809675217,716.269499754766,None,4,2.585,2.0031403433531523,None,718.8859982204158,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
12,VI,Stimuli/VI_iamxalara.png,I would follow brand recommendations from the shown influencer.,use,0,74,74,31,,,,,,,,,,,723.3028258478735,725.3028133462649,725.2028585337102,None,1,2.685,2.0061878813430667,None,727.9193822119851,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
8,HI,Stimuli/HI_rosesarerosie.png,I would follow brand recommendations from the shown influencer.,use,0,75,75,27,,,,,,,,,,,731.5530136511661,733.5527513271663,733.4529138479847,None,2,1.468,2.004144227830693,None,734.9528789273463,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
18,VI,Stimuli/VI_rozygram.png,The shown influencer is a human.,human,0,76,76,77,,,,,,,,,,,738.8362240870483,740.8360839853995,740.7528672637418,None,1,3.952,2.011247099842876,None,744.7361080807168,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
9,HI,Stimuli/HI_simoneses.png,The shown influencer is trustworthy.,trust,0,77,77,8,,,,,,,,,,,748.3692149419803,750.3692034182604,750.2861196743324,None,3,4.185,2.0057896324433386,None,754.5027986099012,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
9,HI,Stimuli/HI_simoneses.png,The shown influencer is a human.,human,0,78,78,68,,,,,,,,,,,758.5861047282815,760.5860311156139,760.5526268002577,None,4,1.185,2.002146921120584,None,761.7692856213544,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
1,HI,Stimuli/HI_adhel_bol.png,The shown influencer is a human.,human,0,79,79,60,,,,,,,,,,,766.152488444699,768.1526998542249,768.0526985970791,None,4,1.519,2.001863560639322,None,769.6027767495252,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
